"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","Required field","TestDate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","ChildsAge"
"gender","String","20","Required","Sex of the subject","M;F","M = Male; F = Female","gender"
"mcs_vc_total","Integer","","Required","Total Score Parts 1- 22. Words Produced counts","0 :: 680; 999","999 = Missing value","WordProduced_Number,words_produced,words_produced_number"
"mcs_wp_perc_below1","String","5","Recommended","Is the Words Produced Percentile Below 1?","Y;N","Y = Yes; N = No",""
"mcs_wp_perc","Float","","Recommended","If the percentile is not below 1 then provide Words Produced Percentile","0 :: 100","","WordProduced_Percentile,words_produced_pctile,words_produced_percentile"
"mcs_wf_total","Integer","","Recommended","MacArthur Words and Sentences: Word Forms Total Irregular Word Usage","0::25","","IrregularWords3FRaw,word_forms,word_forms_number"
"mcs_wf_perc_below1","Integer","","Recommended","""Is the Word Forms,  Irregular Words, Nouns and Verbs Percentile Below 1?""","0;1","0 = No; 1 = Yes",""
"mcs_wf_perc","Integer","","Recommended","""If the percentile is not below 1 then provide percentile for Word Forms, Irregular Words, Nouns and Verbs""","1 :: 99","","IrregularWordsPercentile3F,word_forms_pctile,word_forms_percentile"
"mcs_sentmean_morpho","Float","","Required","Mean of three longest sentences in morphemes","0 :: 99; 999","Changes from integer in v1 of MCI Sentences data structure.","LengthThreeLongestSent_Mean,ThreeLongestSenteces,examples_number,mcs_sentmean_morph"
"mcs_sentmean_perc_below1","Integer","","Recommended","Is the Mean of three longest sentences/Percentile below 1?","0;1","0 = No; 1 = Yes",""
"mcs_sentmean_perc","Integer","","Recommended","If the percentile is not below 1 then provide Mean of three longest sentences/Percentile","1 :: 99","","LengthThreeLongestSent_Percentile,examples_percentile"
"mcs_cx_total","Integer","","Recommended","MacArthur Words and Sentences: Total Complexity Score","0::37","","Complexity_Number,SentenceComplexity3FRaw,complexity,complexity_number"
"mcs_cx_perc_below1","Integer","","Recommended","Is the Complexity Score: Percentile below 1?","0;1","0 = No; 1 = Yes",""
"mcs_cx_perc","Integer","","Recommended","""If the Complexity Score: Percentile is not below 1, then provide the percentile""","1 :: 99","","Complex_Percentile,SentenceComplexityPercentile,complexity_pctile,complexity_percentile"
"mcs_vc1_1_baa","Integer","","Recommended","Sound Effects and Animal Sounds. baa","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_2,i_a_1_1�,say_baa_baa"
"mcs_vc1_2choo","Integer","","Recommended","Sound Effects and Animal Sounds. choo choo","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_3,i_a_1_2�,say_choo_choo"
"mcs_vc1_3_cockadoo","Integer","","Recommended","Sound Effects and Animal Sounds. cockadoodle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_4,i_a_1_3�,say_cockadoodledoo"
"mcs_vc1_4_grr","Integer","","Recommended","Sound Effects and Animal Sounds. grrr","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_5,i_a_1_4�,say_grrr"
"mcs_vc1_5_meow","Integer","","Recommended","Sound Effects and Animal Sounds. meow","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_6,i_a_1_5�,say_meow"
"mcs_vc1_6_moo","Integer","","Recommended","Sound Effects and Animal Sounds. moo","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_7,i_a_1_6�,say_moo"
"mcs_vc1_7_ouch","Integer","","Recommended","Sound Effects and Animal Sounds. ouch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_8,i_a_1_7�,say_ouch"
"mcs_vc1_8_quack","Integer","","Recommended","Sound Effects and Animal Sounds. quack","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_9,i_a_1_8�,say_quack"
"mcs_vc1_9_uhoh","Integer","","Recommended","Sound Effects and Animal Sounds. uhoh","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_10,i_a_1_9�,say_uh_oh"
"mcs_vc1_10_vroom","Integer","","Recommended","Sound Effects and Animal Sounds. vroom","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_11,i_a_1_10,say_vroom"
"mcs_vc1_11_woof","Integer","","Recommended","Sound Effects and Animal Sounds. woof","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_12,i_a_1_11,say_woof"
"mcs_vc1_12_yum","Integer","","Recommended","Sound Effects and Animal Sounds. yum","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_13,i_a_1_12,say_yum"
"mcs_vc2_1_alli","Integer","","Recommended","Animals (Real or Toy). alligator","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_15,i_a_2_1�,say_alligator"
"mcs_vc2_2_animal","Integer","","Recommended","Animals (Real or Toy). animal","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_16,i_a_2_2�,say_animal"
"mcs_vc2_3ant","Integer","","Recommended","Animals (Real or Toy). ant","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_17,i_a_2_3�,say_ant"
"mcs_vc2_4bear","Integer","","Recommended","Animals (Real or Toy). bear","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_18,i_a_2_4�,say_bear"
"mcs_vc2_5bee","Integer","","Recommended","Animals (Real or Toy). bee","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_19,i_a_2_5�,say_bee"
"mcs_vc2_6bird","Integer","","Recommended","Animals (Real or Toy). bird","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_20,i_a_2_6�,say_bird"
"mcs_vc2_7bug","Integer","","Recommended","Animals (Real or Toy). bug","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_21,i_a_2_7�,say_bug"
"mcs_vc2_8bunny","Integer","","Recommended","Animals (Real or Toy). bunny","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_22,i_a_2_8�,say_bunny"
"mcs_vc2_9butterfly","Integer","","Recommended","Animals (Real or Toy). butterfly","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_23,i_a_2_9�,say_butterfly"
"mcs_vc2_10cat","Integer","","Recommended","Animals (Real or Toy). cat","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_24,i_a_2_10,say_cat"
